area,rooms,is_new,property_id,garages,stratum,property_type,baths,price,neighbourhood,city
55.0,3,False,c5ede6ed-229e-44f9-8949-3ebb6534c9c8,Sin especificar,Estrato 3,Apartamento,2,295000000.0,Barrio Cristóbal,Medellín
43.0,1,False,8b0c3a73-7edd-4321-88fd-9ba4a40f1fae,Sin especificar,Estrato 5,Apartamento,1,380000000.0,Belen La Palma,Medellín
60.0,2,False,030cde24-2279-447e-9032-8d32404dda40,Sin especificar,Estrato 4,Apartamento,1,225000000.0,Santa Mónica,Medellín
79.0,3,False,536fd71d-baa7-416c-9c68-12ccf7462036,1,Estrato 4,Apartamento,2,420000000.0,Calasanz,Medellín
244.0,4,False,346621aa-6ead-4b40-b90e-9a3c976d770a,2,Estrato 6,Apartamento,5,950000000.0,Los Balsos,Medellín
50.0,2,False,5327bf25-a172-4e4d-9233-73b2636c4601,1,Estrato 5,Apartamento,2,335000000.0,Loma de los Bernal,Medellín
130.0,2,False,83957b0b-8e4c-4616-ac5f-e28ad24257c2,Sin especificar,Estrato 6,Apartamento,4,870000000.0,Lalinde,Medellín
80.0,2,False,9ae26fb8-1b36-466f-a540-47c8fb1e3069,Sin especificar,Estrato 3,Apartamento,10,220000000.0,Aranjuez,Medellín
290.0,4,False,3f2fabe6-105f-40dc-9755-dc145e47f1fd,2,Estrato 4,Apartamento,5,820000000.0,La Candelaria,Medellín
225.0,3,False,cc36789d-d8ea-4c24-a7d6-b91ec79b732d,2,Estrato 6,Apartamento,3,850000000.0,El Poblado,Medellín
135.0,3,False,3a7f0f77-8f09-42d6-aec2-598d21e50bd3,1,Estrato 5,Apartamento,5,630000000.0,El Poblado,Medellín
55.0,3,False,807f0ab6-520e-4cf7-9b30-681be4ec2da6,1,Estrato 3,Apartamento,2,250000000.0,Rodeo Alto,Medellín
152.0,3,False,103f04ec-6718-496a-bf28-8635d98df563,2,Estrato 5,Apartamento,2,680000000.0,El Poblado,Medellín
140.0,4,False,881a204c-85c7-4973-a225-a3ae5b5e46e0,1,Estrato 5,Apartamento,4,670000000.0,Laureles,Medellín
145.0,3,False,be13621e-21c7-4b64-aaf1-20b00443c504,2,Estrato 6,Apartamento,4,730000000.0,El Tesoro,Medellín
100.0,4,False,a2b1006b-5f3f-4e55-a57b-cd5d8b330e71,1,Estrato 5,Apartamento,3,400000000.0,La Castellana,Medellín
88.0,3,False,39916e09-9796-4635-8b26-b53c33929132,2,Estrato 4,Apartamento,2,530000000.0,Loma de los bernal,Medellín
98.0,3,False,79236819-c39c-4585-83d1-66d57bada1e4,1,Estrato 5,Apartamento,2,500000000.0,Calasanz,Medellín
90.0,4,False,9c726917-24a8-4c27-8ff0-c68246bb2a15,Sin especificar,Estrato 3,Apartamento,3,240000000.0,Florencia,Medellín
57.0,3,False,481b200b-9bbc-4deb-a7a5-6e7a7b5444c4,Sin especificar,Estrato 3,Apartamento,2,190000000.0,Boston,Medellín
39.0,2,False,06a9a550-e7c9-4fed-9abe-465f0c9e1801,Sin especificar,Estrato 3,Apartamento,1,147000000.0,Buenos Aires,Medellín
53.0,3,False,3b8bff69-0c50-4d27-84d3-a22fcaf91b61,Sin especificar,Estrato 3,Apartamento,2,240000000.0,Rodeo Alto,Medellín
86.0,3,False,670bb3e0-697a-4aea-9dd6-834f246dcb76,Sin especificar,Estrato 3,Apartamento,2,160000000.0,Centro,Medellín
92.0,4,False,ad0984ed-1cff-4f95-ad40-fbaadfd00ca7,Sin especificar,Estrato 6,Apartamento,3,400000000.0,El Campestre,Medellín
61.0,2,False,1ef523ce-9cfa-484f-98b0-e2c87d9774a0,1,Estrato 4,Apartamento,2,280000000.0,El Rodeo,Medellín
116.0,4,False,9ba552a7-2c26-4083-b0f2-b361a9eaf8ff,1,Estrato 3,Apartamento,2,365000000.0,Robledo,Medellín
297.0,4,False,51c04f56-46fc-4fa5-95c0-58048b42b44a,3,Estrato 6,Apartamento,4,1080000000.0,El Campestre,Medellín
136.0,4,False,3c3b0684-ffd3-4a94-8ac9-1bfab4fb2f02,1,Estrato 5,Apartamento,3,440000000.0,Patio Bonito,Medellín
156.0,3,False,f976ac8a-227c-425f-be6c-269d02bbe47e,1,Estrato 5,Apartamento,3,680000000.0,Laureles,Medellín
58.0,3,False,68d370d2-8ee8-4235-b19b-bc0b7fb83ffa,Sin especificar,Estrato 4,Apartamento,2,350000000.0,San Diego,Medellín
90.0,3,False,4282271a-4378-43ef-b49a-e2bf0dd4f895,1,Estrato 3,Apartamento,2,390000000.0,Florida Nueva,Medellín
173.0,5,False,4c0801db-717b-454e-aed3-978f8093fa2b,1,Estrato 5,Apartamento,3,570000000.0,SIMON BOLIVAR,Medellín
94.0,3,False,c9253ed1-88ba-4223-947d-9282f35fbf8a,Sin especificar,Estrato 3,Apartamento,2,265000000.0,Aranjuez,Medellín
64.0,3,False,df8bb9ef-f5be-491f-bfd8-687d9b729935,Sin especificar,Estrato 3,Apartamento,2,310000000.0,Prados de sabaneta,Sabaneta
47.0,3,False,48bc0989-c746-40e9-a61b-bb9f371e7989,Sin especificar,Estrato 3,Apartamento,1,185000000.0,Robledo,Medellín
140.0,4,False,6b03531a-9bd1-4a38-98b1-8035eb68bff6,2,Estrato 6,Apartamento,4,700000000.0,El Poblado,Medellín
129.0,3,False,5c057a6d-68cb-4bc3-b244-2e33bd3748c0,4,Estrato 5,Apartamento,2,650000000.0,Laureles,Medellín
86.0,3,False,449927d6-4376-4b1d-916b-f9ecc4151db6,1,Estrato 4,Apartamento,2,400000000.0,Calasanz,Medellín
145.24,3,False,70f2f789-1859-4b10-b9eb-339cd2b186b4,2,Estrato 5,Apartamento,3,520000000.0,Laureles,Medellín
50.0,2,False,445289bc-c50e-4ce9-93f0-1ccbee1f0de1,Sin especificar,Estrato 3,Apartamento,1,160000000.0,Castilla,Medellín
269.0,5,False,445e5b31-13c8-4dc9-95b8-6598eea020e3,2,Estrato 6,Apartamento,5,1160000000.0,Santa María de los Ángeles,Medellín
79.0,3,False,6b79cbf0-73e7-435c-80fc-c4c7ee7a24ef,1,Estrato 4,Apartamento,2,470000000.0,San Germán,Medellín
126.0,3,False,ec71c537-acf9-4b13-8f06-886d3fdeca50,2,Estrato 5,Apartamento,2,545000000.0,Belén,Medellín
143.3,4,False,c70802f8-2822-4bf1-9416-676ffbf102bc,1,Estrato 4,Apartamento,3,650000000.0,Laureles,Medellín
70.0,3,False,955bebfc-c84a-4335-8fdc-2ff62f3d5a14,1,Estrato 5,Apartamento,2,490000000.0,La Castellana,Medellín
182.0,3,False,addc3e7f-da5a-45ce-b189-8e213013aff9,2,Estrato 6,Apartamento,3,830000000.0,Castropol,Medellín
50.0,4,False,1654ffbd-2e81-4132-9e0d-54caace2f4cd,Sin especificar,Estrato 2,Apartamento,1,155000000.0,Caicedo,Medellín
75.0,3,False,abae4e16-5c44-4ba1-9634-95010dfd0725,1,Estrato 4,Apartamento,2,390000000.0,Calasanz,Medellín
104.0,4,False,3b232bfc-a5ba-4ab4-b602-f304b20c92be,1,Estrato 5,Apartamento,3,480000000.0,San Diego,Medellín
83.0,3,False,510f0905-8157-4566-ba70-4bdcb5f65730,Sin especificar,Estrato 2,Apartamento,2,200000000.0,NorOccidente,Medellín
65.0,2,False,0180663c-fa2d-4cd1-9339-a66e711ece68,Sin especificar,Estrato 3,Apartamento,2,190000000.0,Occidente,Medellín
345.0,5,False,6b69bd92-5641-404f-abea-a588011023a7,4,Estrato 6,Apartamento,5,1500000000.0,Loma Del Campestre,Medellín
85.0,3,False,444b73f0-b8c7-4dbc-8948-3b45f14406df,1,Estrato 3,Apartamento,2,285000000.0,cabañitas,Bello
137.0,4,False,346d34ff-c4dc-4c48-896c-4acb8f4eed3d,1,Estrato 6,Apartamento,3,640000000.0,Loma Yarumos,Medellín
44.0,2,False,087eb62e-be03-496f-99eb-e6db2e261193,Sin especificar,Estrato 3,Apartamento,1,150000000.0,La cabaña,Bello
101.0,3,False,528db9a6-f241-489e-a49b-44be6113aa73,2,Estrato 3,Apartamento,2,420000000.0,Belen L A Palma,Medellín
86.0,3,False,418b1b64-6e89-4499-9358-b139696352b8,Sin especificar,Estrato 3,Apartamento,2,290000000.0,Belen las playas,Medellín
52.0,3,False,acaa39d8-ad0d-40b1-830e-cb19083c79d2,Sin especificar,Estrato 2,Apartamento,2,170000000.0,NorOriente,Medellín
110.0,2,False,19ce1481-8152-4933-afa7-dffe0655bff2,Sin especificar,Estrato 5,Apartamento,2,235000000.0,Prado Centro Medellín,Medellín
95.0,3,False,531938ab-e096-4892-b22f-267a566fc25a,1,Estrato 4,Apartamento,2,387000000.0,La Estrella,Medellín
47.0,3,False,8315942f-a55b-4d9c-983a-b9faa35f5b91,Sin especificar,Estrato 2,Apartamento,2,153000000.0,ROBLEDO VILLA SOFA,Medellín
300.0,4,False,a3f0f29d-e921-4523-9d03-1df85b046533,1,Estrato 6,Apartamento,5,1200000000.0,Loma De Los Parra,Medellín
250.0,5,False,84beb1d9-e4d5-4b5e-96a9-0a46ab7c8671,1,Estrato 4,Apartamento,5,600000000.0,Alameda,Medellín
61.0,3,False,2384c0b8-1107-4f66-af56-43ce03c27937,Sin especificar,Estrato 3,Apartamento,2,220000000.0,El salado,El Carmen de Viboral
144.0,3,False,609ccfa3-9ad5-4271-8117-623f888e7a84,1,Estrato 5,Apartamento,3,550000000.0,Alameda,Medellín
75.0,3,False,7217bf28-b6cc-4b07-ac19-51550ee3b2b8,Sin especificar,Estrato 4,Apartamento,2,350000000.0,Sur Occidente,Medellín
